ID,HR,Label
1714,82,Normal
1715,82,Normal
1716,82,Normal
1717,82,Normal
1718,82,Normal
1719,82,Normal
1720,82,Normal
1721,82,Normal
1722,82,Normal
1723,82,Normal
1724,82,Normal
1725,82,Normal
1726,82,Normal
1727,81,Normal
1728,81,Normal
1729,81,Normal
1730,81,Normal
1731,81,Normal
1732,81,Normal
1733,81,Normal
1734,81,Normal
1735,81,Normal
1736,81,Normal
1737,81,Normal
1738,81,Normal
1739,81,Normal
1740,81,Normal
1741,81,Normal
1742,81,Normal
1743,81,Normal
1744,81,Normal
1745,81,Normal
1746,81,Normal
1747,81,Normal
1748,81,Normal
1749,81,Normal
1750,81,Normal
1751,81,Normal
1752,81,Normal
1753,81,Normal
1754,81,Normal
1755,81,Normal
1756,81,Normal
1757,81,Normal
1758,81,Normal
1759,81,Normal
1760,81,Normal
1761,81,Normal
1762,81,Normal
1763,81,Normal
1764,81,Normal
1765,81,Normal
1766,81,Normal
1767,81,Normal
1768,81,Normal
1769,81,Normal
1770,81,Normal
1771,80,Normal
1772,80,Normal
1773,80,Normal
1774,80,Normal
1775,80,Normal
1776,80,Normal
1777,80,Normal
1778,80,Normal
1779,80,Normal
1780,80,Normal
1781,80,Normal
1782,80,Normal
1783,80,Normal
1784,80,Normal
1785,80,Normal
1786,80,Normal
1787,80,Normal
1788,80,Normal
1789,80,Normal
1790,80,Normal
1791,79,Normal
1792,79,Normal
1793,79,Normal
1794,79,Normal
1795,79,Normal
1796,79,Normal
1797,79,Normal
1798,79,Normal
1799,79,Normal
1800,79,Normal
1801,79,Normal
1802,79,Normal
1803,79,Normal
1804,78,Normal
1805,78,Normal
1806,78,Normal
1807,78,Normal
1808,78,Normal
1809,78,Normal
1810,78,Normal
1811,78,Normal
1812,78,Normal
1813,78,Normal
1814,78,Normal
1815,78,Normal
1816,78,Normal
1817,78,Normal
1818,78,Normal
1819,78,Normal
1820,78,Normal
1821,78,Normal
1822,78,Normal
1823,78,Normal
1824,78,Normal
1825,78,Normal
1826,78,Normal
1827,78,Normal
1828,78,Normal
1829,78,Normal
1830,78,Normal
1831,78,Normal
1832,78,Normal
1833,78,Normal
1834,78,Normal
1835,78,Normal
1836,78,Normal
1837,78,Normal
1838,78,Normal
1839,78,Normal
1840,78,Normal
1841,78,Normal
1842,78,Normal
1843,78,Normal
1844,78,Normal
1845,78,Normal
1846,78,Normal
1847,79,Normal
1848,79,Normal
1849,79,Normal
1850,79,Normal
1851,79,Normal
1852,79,Normal
1853,80,Normal
1854,80,Normal
1855,80,Normal
1856,80,Normal
1857,80,Normal
1858,80,Normal
1859,80,Normal
1860,80,Normal
1861,80,Normal
1862,80,Normal
1863,80,Normal
1864,81,Normal
1865,81,Normal
1866,81,Normal
1867,81,Normal
1868,81,Normal
1869,81,Normal
1870,81,Normal
1871,81,Normal
1872,81,Normal
1873,81,Normal
1874,81,Normal
1875,81,Normal
1876,81,Normal
1877,81,Normal
1878,81,Normal
1879,81,Normal
1880,81,Normal
1881,81,Normal
1882,81,Normal
1883,81,Normal
1884,81,Normal
1885,81,Normal
1886,81,Normal
1887,81,Normal
1888,81,Normal
1889,81,Normal
1890,81,Normal
1891,81,Normal
1892,81,Normal
1893,81,Normal
1894,81,Normal
1895,82,Normal
1896,82,Normal
1897,82,Normal
1898,82,Normal
1899,82,Normal
1900,82,Normal
1901,82,Normal
1902,82,Normal
1903,82,Normal
1904,82,Normal
1905,82,Normal
1906,82,Normal
1907,82,Normal
1908,82,Normal
1909,82,Normal
1910,82,Normal
1911,82,Normal
1912,82,Normal
1913,82,Normal
1914,82,Normal
1915,82,Normal
1916,82,Normal
1917,82,Normal
1918,82,Normal
1919,82,Normal
1920,82,Normal
1921,82,Normal
1922,82,Normal
1923,82,Normal
1924,82,Normal
1925,82,Normal
1926,82,Normal
1927,82,Normal
